,store_code,ItemID,address,local,category
0,STORE_GC00001,광고만두라,서울 금천구 시흥대로 97 BB53호,(지번) 시흥동 984,한식
1,STORE_GC00002,가산물갈비&백년불고기,서울 금천구 가산디지털1로 128 STXV타워 1층 110호,(지번) 가산동 371-37,"불고기,두루치기"
2,STORE_GC00003,동흥관,서울 금천구 시흥대로63길 20,(지번) 시흥동 115-10,중화요리
3,STORE_GC00004,강강술래 시흥점,서울 금천구 시흥대로 193 금천ICT타워 2층,(지번) 시흥동 991,"육류,고기"
4,STORE_GC00005,도원,서울 금천구 범안로 1130 디지털엠파이어빌딩 101호,(지번) 가산동 685,뷔페
5,STORE_GC00006,쌍교숯불갈비 서울금천점,서울 금천구 시흥대로 435 1층,(지번) 독산동 152-3,한식
6,STORE_GC00007,농장사람들,서울 금천구 벚꽃로 316 C&S타워 1층,(지번) 가산동 777,"육류,고기"
7,STORE_GC00008,순댕이네얼큰수제비,서울 금천구 시흥대로136길 1,(지번) 독산동 160-17,수제비
8,STORE_GC00009,김사부샤브샤브,서울 금천구 가산로 132,(지번) 가산동 145-24,샤브샤브
9,STORE_GC00010,왕게수산,서울 금천구 시흥대로 182,(지번) 시흥동 903-5,"게,대게"
10,STORE_GC00011,채영진의명품생고기무한리필 독산점,서울 금천구 독산로 176,(지번) 독산동 378-436,고기뷔페
11,STORE_GC00012,개성손만두요리전문점 가산디지털점,서울 금천구 가산로9길 22,(지번) 가산동 143-18,한식
12,STORE_GC00013,두껍삼 가산직영점,서울 금천구 벚꽃로38길 43,(지번) 가산동 87-225,삼겹살
13,STORE_GC00014,문정곱창,서울 금천구 디지털로12길 37 1층,(지번) 가산동 143-20,"곱창,막창"
14,STORE_GC00015,춘천옥,서울 금천구 디지털로12길 19,(지번) 가산동 140-38,"족발,보쌈"
15,STORE_GC00016,호세가,서울 금천구 남부순환로108길 19 1층,(지번) 가산동 145-13,"멕시칸,브라질"
16,STORE_GC00017,은행골 시흥분점,서울 금천구 시흥대로 198 지하1층,(지번) 시흥동 890-10,"초밥,롤"
17,STORE_GC00018,만두라,서울 금천구 시흥대로 97 BB53호,(지번) 시흥동 984,한식
18,STORE_GC00019,북촌삼대갈비 가산본점,서울 금천구 가산로 149 1층,(지번) 가산동 140-8,갈비
19,STORE_GC00020,우리집 순대국,서울 금천구 금하로 650,(지번) 시흥동 885-6,순대
20,STORE_GC00021,진영면옥,서울 금천구 가산로 22-5,(지번) 독산동 162-10,냉면
21,STORE_GC00022,탐나종합어시장 가산점,서울 금천구 가산로 156 1층,(지번) 가산동 141-14,회
22,STORE_GC00023,스시쥬베이,서울 금천구 가산로 147,(지번) 가산동 140-9,일식
23,STORE_GC00024,황제짬뽕양꼬치,서울 금천구 디지털로9길 32 B동 1층 107호,(지번) 가산동 60-5,중화요리
24,STORE_GC00025,스미다,서울 금천구 벚꽃로 298 대륭포스트6차 b143호,(지번) 가산동 50-3,카페
25,STORE_GC00026,아웃백스테이크하우스 가산점,서울 금천구 디지털로10길 9 현대시티아울렛 가산점 7층,(지번) 가산동 60-8,패밀리레스토랑
26,STORE_GC00027,동대문털보네,서울 금천구 디지털로9길 99,(지번) 가산동 60-11,"육류,고기"
27,STORE_GC00028,지리산 삼계탕,서울 금천구 가산로 88,(지번) 독산동 148-32,삼계탕
28,STORE_GC00029,동남집 2호점,서울 금천구 가산디지털1로 149,(지번) 가산동 371-59,"육류,고기"
29,STORE_GC00030,떡볶이랑걸레만두랑,서울 금천구 시흥대로58길 13,(지번) 시흥동 885-10,떡볶이
30,STORE_GC00031,맥도날드 서울시흥DT점,서울 금천구 시흥대로 184,(지번) 시흥동 903-4,패스트푸드
31,STORE_GC00032,말뚝곱창 5호점,서울 금천구 벚꽃로38길 21 2층,(지번) 가산동 44-1,"곱창,막창"
32,STORE_GC00033,애슐리퀸즈 가산재능점,서울 금천구 가산디지털1로 186 제이플라츠 2층,(지번) 가산동 459-11,패밀리레스토랑
33,STORE_GC00034,우마왕,서울 금천구 범안로17길 9 한아마인드아파트 1층,(지번) 독산동 1142,"육류,고기"
